;;;;;;;;;;;;x,,,,,,,,,,,,,
gtfo_ALH_desc;We've had a good run, but it's time to end our rulership of Al-Hasa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARK_title;Grant Arakan Independence;;;;;;;;;;;;x,,
gtfo_ARK_desc;We've had a good run, but it's time to end our rulership of Arakan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARL_title;Grant Ardabil Independence;;;;;;;;;;;;x,,
gtfo_ARL_desc;We've had a good run, but it's time to end our rulership of Ardabil: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARM_title;Grant Armenia Independence;;;;;;;;;;;;x,,
gtfo_ARM_desc;We've had a good run, but it's time to end our rulership of Armenia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARN_title;Grant Aragon Independence;;;;;;;;;;;;x,,
gtfo_ARN_desc;We've had a good run, but it's time to end our rulership of Aragon: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ARW_title;Grant Arawak Independence;;;;;;;;;;;;x,,
gtfo_ARW_desc;We've had a good run, but it's time to end our rulership of Arawak: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ASH_title;Grant Ashanti Independence;;;;;;;;;;;;x,,
gtfo_ASH_desc;We've had a good run, but it's time to end our rulership of Ashanti: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ASM_title;Grant Kamarupa Independence;;;;;;;;;;;;x,,
gtfo_ASM_desc;We've had a good run, but it's time to end our rulership of Kamarupa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ATJ_title;Grant Aceh Independence;;;;;;;;;;;;x,,
gtfo_ATJ_desc;We've had a good run, but it's time to end our rulership of Aceh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUA_title;Grant Awngthim Independence;;;;;;;;;;;;x,,
gtfo_AUA_desc;We've had a good run, but it's time to end our rulership of Awngthim: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUE_title;Grant Eora Independence;;;;;;;;;;;;x,,
gtfo_AUE_desc;We've had a good run, but it's time to end our rulership of Eora: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUI_title;Grant Kamilaroi Independence;;;;;;;;;;;;x,,
gtfo_AUI_desc;We've had a good run, but it's time to end our rulership of Kamilaroi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUK_title;Grant Kaurna Independence;;;;;;;;;;;;x,,
gtfo_AUK_desc;We've had a good run, but it's time to end our rulership of Kaurna: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUL_title;Grant Larrakia Independence;;;;;;;;;;;;x,,
gtfo_AUL_desc;We've had a good run, but it's time to end our rulership of Larrakia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUM_title;Grant Mianjin Independence;;;;;;;;;;;;x,,
gtfo_AUM_desc;We've had a good run, but it's time to end our rulership of Mianjin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUO_title;Grant Nyoongah Independence;;;;;;;;;;;;x,,
gtfo_AUO_desc;We've had a good run, but it's time to end our rulership of Nyoongah: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUP_title;Grant Palawa Independence;;;;;;;;;;;;x,,
gtfo_AUP_desc;We've had a good run, but it's time to end our rulership of Palawa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUS_title;Grant Austria Independence;;;;;;;;;;;;x,,
gtfo_AUS_desc;We've had a good run, but it's time to end our rulership of Austria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUW_title;Grant Wurundjeri Independence;;;;;;;;;;;;x,,
gtfo_AUW_desc;We've had a good run, but it's time to end our rulership of Wurundjeri: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUY_title;Grant Yolngu Independence;;;;;;;;;;;;x,,
gtfo_AUY_desc;We've had a good run, but it's time to end our rulership of Yolngu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AUZ_title;Grant Malgana Independence;;;;;;;;;;;;x,,
gtfo_AUZ_desc;We've had a good run, but it's time to end our rulership of Malgana: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AVA_title;Grant Pagans Independence;;;;;;;;;;;;x,,
gtfo_AVA_desc;We've had a good run, but it's time to end our rulership of Pagans: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AWA_title;Grant Kanyakubja Independence;;;;;;;;;;;;x,,
gtfo_AWA_desc;We've had a good run, but it's time to end our rulership of Kanyakubja: if you love something, let it go!;;;;;;;;;;;;x
gtfo_AWS_title;Grant Aussa Independence;;;;;;;;;;;;x,,
gtfo_AWS_desc;We've had a good run, but it's time to end our rulership of Aussa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BAL_title;Grant Bali Independence;;;;;;;;;;;;x,,
gtfo_BAL_desc;We've had a good run, but it's time to end our rulership of Bali: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BAU_title;Grant Berau Independence;;;;;;;;;;;;x,,
gtfo_BAU_desc;We've had a good run, but it's time to end our rulership of Berau: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BEG_title;Grant Berg Independence;;;;;;;;;;;;x,,
gtfo_BEG_desc;We've had a good run, but it's time to end our rulership of Berg: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BGL_title;Grant Baghelkhand Independence;;;;;;;;;;;;x,,
gtfo_BGL_desc;We've had a good run, but it's time to end our rulership of Baghelkhand: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BNG_title;Grant Bengal Independence;;;;;;;;;;;;x,,
gtfo_BNG_desc;We've had a good run, but it's time to end our rulership of Bengal: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BNY_title;Grant Bunyoro Independence;;;;;;;;;;;;x,,
gtfo_BNY_desc;We've had a good run, but it's time to end our rulership of Bunyoro: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BOH_title;Grant Bohemia Independence;;;;;;;;;;;;x,,
gtfo_BOH_desc;We've had a good run, but it's time to end our rulership of Bohemia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRG_title;Grant Burgundy Independence;;;;;;;;;;;;x,,
gtfo_BRG_desc;We've had a good run, but it's time to end our rulership of Burgundy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRU_title;Grant Brunei Independence;;;;;;;;;;;;x,,
gtfo_BRU_desc;We've had a good run, but it's time to end our rulership of Brunei: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRY_title;Grant Buryatia Independence;;;;;;;;;;;;x,,
gtfo_BRY_desc;We've had a good run, but it's time to end our rulership of Buryatia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BRZ_title;Grant Brazil Independence;;;;;;;;;;;;x,,
gtfo_BRZ_desc;We've had a good run, but it's time to end our rulership of Brazil: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BSK_title;Grant Bashkiria Independence;;;;;;;;;;;;x,,
gtfo_BSK_desc;We've had a good run, but it's time to end our rulership of Bashkiria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BUG_title;Grant Buganda Independence;;;;;;;;;;;;x,,
gtfo_BUG_desc;We've had a good run, but it's time to end our rulership of Buganda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BUR_title;Grant Taungu Independence;;;;;;;;;;;;x,,
gtfo_BUR_desc;We've had a good run, but it's time to end our rulership of Taungu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_BYZ_title;Grant Byzantium Independence;;;;;;;;;;;;x,,
gtfo_BYZ_desc;We've had a good run, but it's time to end our rulership of Byzantium: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CAB_title;Grant Carib Independence;;;;;;;;;;;;x,,
gtfo_CAB_desc;We've had a good run, but it's time to end our rulership of Carib: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CAM_title;Grant Khmer Independence;;;;;;;;;;;;x,,
gtfo_CAM_desc;We've had a good run, but it's time to end our rulership of Khmer: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CCQ_title;Grant Calchaqui Independence;;;;;;;;;;;;x,,
gtfo_CCQ_desc;We've had a good run, but it's time to end our rulership of Calchaqui: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CDL_title;Grant Dali Independence;;;;;;;;;;;;x,,
gtfo_CDL_desc;We've had a good run, but it's time to end our rulership of Dali: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CEB_title;Grant Cebu Independence;;;;;;;;;;;;x,,
gtfo_CEB_desc;We've had a good run, but it's time to end our rulership of Cebu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHA_title;Grant Champa Independence;;;;;;;;;;;;x,,
gtfo_CHA_desc;We've had a good run, but it's time to end our rulership of Champa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHC_title;Grant Chu Independence;;;;;;;;;;;;x,,
gtfo_CHC_desc;We've had a good run, but it's time to end our rulership of Chu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHG_title;Grant Chagatai Independence;;;;;;;;;;;;x,,
gtfo_CHG_desc;We've had a good run, but it's time to end our rulership of Chagatai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHL_title;Grant Chile Independence;;;;;;;;;;;;x,,
gtfo_CHL_desc;We've had a good run, but it's time to end our rulership of Chile: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHM_title;Grant Chimu Independence;;;;;;;;;;;;x,,
gtfo_CHM_desc;We've had a good run, but it's time to end our rulership of Chimu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHU_title;Grant Chukchi Independence;;;;;;;;;;;;x,,
gtfo_CHU_desc;We've had a good run, but it's time to end our rulership of Chukchi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CHV_title;Grant Chavchuveny Independence;;;;;;;;;;;;x,,
gtfo_CHV_desc;We've had a good run, but it's time to end our rulership of Chavchuveny: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CIR_title;Grant Alania Independence;;;;;;;;;;;;x,,
gtfo_CIR_desc;We've had a good run, but it's time to end our rulership of Alania: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CKW_title;Grant Chokwe Independence;;;;;;;;;;;;x,,
gtfo_CKW_desc;We've had a good run, but it's time to end our rulership of Chokwe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CLM_title;Grant Colombia Independence;;;;;;;;;;;;x,,
gtfo_CLM_desc;We've had a good run, but it's time to end our rulership of Colombia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CRA_title;Grant Charca Independence;;;;;;;;;;;;x,,
gtfo_CRA_desc;We've had a good run, but it's time to end our rulership of Charca: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CRO_title;Grant Great Balkan Empire Independence;;;;;;;;;;;;x,,
gtfo_CRO_desc;We've had a good run, but it's time to end our rulership of Great Balkan Empire: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CSH_title;Grant Shun Independence;;;;;;;;;;;;x,,
gtfo_CSH_desc;We've had a good run, but it's time to end our rulership of Shun: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CSK_title;Grant Chosokabe Independence;;;;;;;;;;;;x,,
gtfo_CSK_desc;We've had a good run, but it's time to end our rulership of Chosokabe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CST_title;Grant Castille Independence;;;;;;;;;;;;x,,
gtfo_CST_desc;We've had a good run, but it's time to end our rulership of Castille: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CSU_title;Grant Cusco Independence;;;;;;;;;;;;x,,
gtfo_CSU_desc;We've had a good run, but it's time to end our rulership of Cusco: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CUA_title;Grant Charrua Independence;;;;;;;;;;;;x,,
gtfo_CUA_desc;We've had a good run, but it's time to end our rulership of Charrua: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CWU_title;Grant Wu Independence;;;;;;;;;;;;x,,
gtfo_CWU_desc;We've had a good run, but it's time to end our rulership of Wu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CXI_title;Grant Xi Independence;;;;;;;;;;;;x,,
gtfo_CXI_desc;We've had a good run, but it's time to end our rulership of Xi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_CYA_title;Grant Chachapoya Independence;;;;;;;;;;;;x,,
gtfo_CYA_desc;We've had a good run, but it's time to end our rulership of Chachapoya: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DAH_title;Grant Dahomey Independence;;;;;;;;;;;;x,,
gtfo_DAH_desc;We've had a good run, but it's time to end our rulership of Dahomey: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DAI_title;Grant Dai Viet Independence;;;;;;;;;;;;x,,
gtfo_DAI_desc;We've had a good run, but it's time to end our rulership of Dai Viet: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DAW_title;Grant Asir Independence;;;;;;;;;;;;x,,
gtfo_DAW_desc;We've had a good run, but it's time to end our rulership of Asir: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DEN_title;Grant Denmark Independence;;;;;;;;;;;;x,,
gtfo_DEN_desc;We've had a good run, but it's time to end our rulership of Denmark: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DJA_title;Grant Jambi Independence;;;;;;;;;;;;x,,
gtfo_DJA_desc;We've had a good run, but it's time to end our rulership of Jambi: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DLI_title;Grant Deli Independence;;;;;;;;;;;;x,,
gtfo_DLI_desc;We've had a good run, but it's time to end our rulership of Deli: if you love something, let it go!;;;;;;;;;;;;x
gtfo_DLM_title;Grant Dalmatia Independence;;;;;;;;;;;;x,,
gtfo_DLM_desc;We've had a good run, but it's time to end our rulership of Dalmatia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_EGY_title;Grant Egypt Independence;;;;;;;;;;;;x,,
gtfo_EGY_desc;We've had a good run, but it's time to end our rulership of Egypt: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ENG_title;Grant Great Britain Independence;;;;;;;;;;;;x,,
gtfo_ENG_desc;We've had a good run, but it's time to end our rulership of Great Britain: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ENL_title;Grant Lower Íisland Independence;;;;;;;;;;;;x,,
gtfo_ENL_desc;We've had a good run, but it's time to end our rulership of Lower Íisland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_EST_title;Grant Estonia Independence;;;;;;;;;;;;x,,
gtfo_EST_desc;We've had a good run, but it's time to end our rulership of Estonia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ETH_title;Grant Ethiopia Independence;;;;;;;;;;;;x,,
gtfo_ETH_desc;We've had a good run, but it's time to end our rulership of Ethiopia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FER_title;Grant Ferrara Independence;;;;;;;;;;;;x,,
gtfo_FER_desc;We've had a good run, but it's time to end our rulership of Ferrara: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FJL_title;Grant Lau Independence;;;;;;;;;;;;x,,
gtfo_FJL_desc;We've had a good run, but it's time to end our rulership of Lau: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FJW_title;Grant Vanua Levu Independence;;;;;;;;;;;;x,,
gtfo_FJW_desc;We've had a good run, but it's time to end our rulership of Vanua Levu: if you love something, let it go!;;;;;;;;;;;;x
gtfo_FRA_title;Grant France Independence;;;;;;;;;;;;x,,
gtfo_FRA_desc;We've had a good run, but it's time to end our rulership of France: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GDW_title;Grant Gondwana Independence;;;;;;;;;;;;x,,
gtfo_GDW_desc;We've had a good run, but it's time to end our rulership of Gondwana: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GEN_title;Grant Genoa Independence;;;;;;;;;;;;x,,
gtfo_GEN_desc;We've had a good run, but it's time to end our rulership of Genoa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GEO_title;Grant Georgia Independence;;;;;;;;;;;;x,,
gtfo_GEO_desc;We've had a good run, but it's time to end our rulership of Georgia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GHR_title;Grant Garhwal Independence;;;;;;;;;;;;x,,
gtfo_GHR_desc;We've had a good run, but it's time to end our rulership of Garhwal: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GLC_title;Grant Galicia Independence;;;;;;;;;;;;x,,
gtfo_GLC_desc;We've had a good run, but it's time to end our rulership of Galicia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GOC_title;Grant Golkonda Independence;;;;;;;;;;;;x,,
gtfo_GOC_desc;We've had a good run, but it's time to end our rulership of Golkonda: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRE_title;Grant Greece Independence;;;;;;;;;;;;x,,
gtfo_GRE_desc;We've had a good run, but it's time to end our rulership of Greece: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GRI_title;Grant Guarani Independence;;;;;;;;;;;;x,,
gtfo_GRI_desc;We've had a good run, but it's time to end our rulership of Guarani: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GUJ_title;Grant Gujarat Independence;;;;;;;;;;;;x,,
gtfo_GUJ_desc;We've had a good run, but it's time to end our rulership of Gujarat: if you love something, let it go!;;;;;;;;;;;;x
gtfo_GZK_title;Grant Gazikumukh Independence;;;;;;;;;;;;x,,
gtfo_GZK_desc;We've had a good run, but it's time to end our rulership of Gazikumukh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAR_title;Grant Harar Independence;;;;;;;;;;;;x,,
gtfo_HAR_desc;We've had a good run, but it's time to end our rulership of Harar: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAT_title;Grant Hainaut Independence;;;;;;;;;;;;x,,
gtfo_HAT_desc;We've had a good run, but it's time to end our rulership of Hainaut: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HAU_title;Grant Hausaland Independence;;;;;;;;;;;;x,,
gtfo_HAU_desc;We've had a good run, but it's time to end our rulership of Hausaland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HDJ_title;Grant Hejaz Independence;;;;;;;;;;;;x,,
gtfo_HDJ_desc;We've had a good run, but it's time to end our rulership of Hejaz: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HOD_title;Grant Khodynt Independence;;;;;;;;;;;;x,,
gtfo_HOD_desc;We've had a good run, but it's time to end our rulership of Khodynt: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HUA_title;Grant Huai Independence;;;;;;;;;;;;x,,
gtfo_HUA_desc;We've had a good run, but it's time to end our rulership of Huai: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HUN_title;Grant Hungaria Independence;;;;;;;;;;;;x,,
gtfo_HUN_desc;We've had a good run, but it's time to end our rulership of Hungaria: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HWK_title;Grant Kaua'i Independence;;;;;;;;;;;;x,,
gtfo_HWK_desc;We've had a good run, but it's time to end our rulership of Kaua'i: if you love something, let it go!;;;;;;;;;;;;x
gtfo_HWM_title;Grant Maui Independence;;;;;;;;;;;;x,,
gtfo_HWM_desc;We've had a good run, but it's time to end our rulership of Maui: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ICL_title;Grant Iceland Independence;;;;;;;;;;;;x,,
gtfo_ICL_desc;We've had a good run, but it's time to end our rulership of Iceland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_IME_title;Grant Imereti Independence;;;;;;;;;;;;x,,
gtfo_IME_desc;We've had a good run, but it's time to end our rulership of Imereti: if you love something, let it go!;;;;;;;;;;;;x
gtfo_IRE_title;Grant Ireland Independence;;;;;;;;;;;;x,,
gtfo_IRE_desc;We've had a good run, but it's time to end our rulership of Ireland: if you love something, let it go!;;;;;;;;;;;;x
gtfo_IRQ_title;Grant Mesopotamia Independence;;;;;;;;;;;;x,,
gtfo_IRQ_desc;We've had a good run, but it's time to end our rulership of Mesopotamia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_ITA_title;Grant Italy Independence;;;;;;;;;;;;x,,
gtfo_ITA_desc;We've had a good run, but it's time to end our rulership of Italy: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JAP_title;Grant Japan Independence;;;;;;;;;;;;x,,
gtfo_JAP_desc;We've had a good run, but it's time to end our rulership of Japan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JGD_title;Grant Junagarh Independence;;;;;;;;;;;;x,,
gtfo_JGD_desc;We've had a good run, but it's time to end our rulership of Junagarh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JIM_title;Grant Jimma Independence;;;;;;;;;;;;x,,
gtfo_JIM_desc;We've had a good run, but it's time to end our rulership of Jimma: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JIN_title;Grant Jin Independence;;;;;;;;;;;;x,,
gtfo_JIN_desc;We've had a good run, but it's time to end our rulership of Jin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_JNN_title;Grant Jenne Independence;;;;;;;;;;;;x,,
gtfo_JNN_desc;We've had a good run, but it's time to end our rulership of Jenne: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KAF_title;Grant Kaffa Independence;;;;;;;;;;;;x,,
gtfo_KAF_desc;We've had a good run, but it's time to end our rulership of Kaffa: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KAZ_title;Grant Kazakh Independence;;;;;;;;;;;;x,,
gtfo_KAZ_desc;We've had a good run, but it's time to end our rulership of Kazakh: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KBO_title;Grant Koeherdas Independence;;;;;;;;;;;;x,,
gtfo_KBO_desc;We've had a good run, but it's time to end our rulership of Koeherdas: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KCX_title;Grant Koch Independence;;;;;;;;;;;;x,,
gtfo_KCX_desc;We've had a good run, but it's time to end our rulership of Koch: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KHA_title;Grant Mongol Mongolia Independence;;;;;;;;;;;;x,,
gtfo_KHA_desc;We've had a good run, but it's time to end our rulership of Mongol Mongolia: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KHI_title;Grant Khorezm Independence;;;;;;;;;;;;x,,
gtfo_KHI_desc;We've had a good run, but it's time to end our rulership of Khorezm: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KIE_title;Grant Kiev Independence;;;;;;;;;;;;x,,
gtfo_KIE_desc;We've had a good run, but it's time to end our rulership of Kiev: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KLD_title;Grant Kalundwe Independence;;;;;;;;;;;;x,,
gtfo_KLD_desc;We've had a good run, but it's time to end our rulership of Kalundwe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KLK_title;Grant Khalkha Independence;;;;;;;;;;;;x,,
gtfo_KLK_desc;We've had a good run, but it's time to end our rulership of Khalkha: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KMC_title;Grant Kamchadals Independence;;;;;;;;;;;;x,,
gtfo_KMC_desc;We've had a good run, but it's time to end our rulership of Kamchadals: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KNG_title;Grant Kong Independence;;;;;;;;;;;;x,,
gtfo_KNG_desc;We've had a good run, but it's time to end our rulership of Kong: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KON_title;Grant Kongo Independence;;;;;;;;;;;;x,,
gtfo_KON_desc;We've had a good run, but it's time to end our rulership of Kongo: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KOR_title;Grant Korea Independence;;;;;;;;;;;;x,,
gtfo_KOR_desc;We've had a good run, but it's time to end our rulership of Korea: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KRA_title;Grant Krakow Independence;;;;;;;;;;;;x,,
gtfo_KRA_desc;We've had a good run, but it's time to end our rulership of Krakow: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KRC_title;Grant Korchin Independence;;;;;;;;;;;;x,,
gtfo_KRC_desc;We've had a good run, but it's time to end our rulership of Korchin: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KRW_title;Grant Karagwe Independence;;;;;;;;;;;;x,,
gtfo_KRW_desc;We've had a good run, but it's time to end our rulership of Karagwe: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KSJ_title;Grant Kasanje Independence;;;;;;;;;;;;x,,
gtfo_KSJ_desc;We've had a good run, but it's time to end our rulership of Kasanje: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KUB_title;Grant Kuba Independence;;;;;;;;;;;;x,,
gtfo_KUB_desc;We've had a good run, but it's time to end our rulership of Kuba: if you love something, let it go!;;;;;;;;;;;;x
gtfo_KZN_title;Grant Kazan Independence;;;;;;;;;;;;x,,
gtfo_KZN_desc;We've had a good run, but it's time to end our rulership of Kazan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LBA_title;Grant Luba Independence;;;;;;;;;;;;x,,
gtfo_LBA_desc;We've had a good run, but it's time to end our rulership of Luba: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LNA_title;Grant Lan Na Independence;;;;;;;;;;;;x,,
gtfo_LNA_desc;We've had a good run, but it's time to end our rulership of Lan Na: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LNG_title;Grant Liang Independence;;;;;;;;;;;;x,,
gtfo_LNG_desc;We've had a good run, but it's time to end our rulership of Liang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LOM_title;Grant Milan Independence;;;;;;;;;;;;x,,
gtfo_LOM_desc;We've had a good run, but it's time to end our rulership of Milan: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUA_title;Grant Luang Prabang Independence;;;;;;;;;;;;x,,
gtfo_LUA_desc;We've had a good run, but it's time to end our rulership of Luang Prabang: if you love something, let it go!;;;;;;;;;;;;x
gtfo_LUN_title;Grant Lunda Independence;;;;;;;;;;;;x,,
